Data,Nous casos diaris confirmats,Defuncions diàries,Altes diàries,Total de casos confirmats,Total de defuncions,Total d'altes,Catalunya
25/03/2020,1655,156,423,11592,672,1697,Catalunya
24/03/2020,2073,177,519,9937,516,1274,Catalunya
23/03/2020,1939,94,27,7864,339,755,Catalunya
22/03/2020,1221,54,84,5925,245,728,Catalunya
21/03/2020,501,69,494,4704,191,644,Catalunya
20/03/2020,933,40,68,4203,122,150,Catalunya
19/03/2020,568,27,,3270,82,82,Catalunya
18/03/2020,836,14,,2702,55,,Catalunya
17/03/2020,472,23,,1866,41,,Catalunya
16/03/2020,491,6,,1394,18,,Catalunya
15/03/2020,188,4,,903,12,,Catalunya
14/03/2020,206,2,,715,8,,Catalunya
13/03/2020,190,0,,509,6,,Catalunya
12/03/2020,135,2,,319,6,,Catalunya
11/03/2020,55,1,,184,4,,Catalunya
10/03/2020,24,0,,129,3,,Catalunya
09/03/2020,23,2,,105,3,,Catalunya
08/03/2020,29,0,,82,1,,Catalunya
07/03/2020,13,0,,53,1,,Catalunya
06/03/2020,8,1,,40,1,,Catalunya
05/03/2020,5,0,,32,0,,Catalunya
04/03/2020,6,0,,27,0,,Catalunya
03/03/2020,4,0,,21,0,,Catalunya
02/03/2020,3,0,,17,0,,Catalunya
01/03/2020,5,0,,14,0,,Catalunya
29/02/2020,3,0,,9,0,,Catalunya
28/02/2020,3,0,,6,0,,Catalunya
27/02/2020,0,0,,3,0,,Catalunya
26/02/2020,1,0,,3,0,,Catalunya
25/02/2020,1,0,,2,0,,Catalunya
24/02/2020,1,0,,1,0,,Catalunya
